,customer_id,customer_age,gender_male,gender_female,total_purchase_last_3_months,purchase_month_1,purchase_month_2,purchase_month_3,purchase_week_1,purchase_week_2,purchase_week_3,purchase_week_4,category_books,category_clothing,category_electronics,category_home,most_common_payment_method_cash,most_common_payment_method_credit_card,most_common_payment_method_crypto,most_common_payment_method_paypal
0,46251,37,1,0,5935,3196.0,0.0,2739.0,3196.0,0.0,0.0,2739.0,0.0,1.0,3.0,6.0,0,0,0,1
4,13593,49,0,1,2471,1896.0,575.0,0.0,1896.0,0.0,0.0,575.0,2.0,2.0,1.0,5.0,0,1,0,0
9,28805,19,1,0,1993,1993.0,0.0,0.0,1993.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0,1,0,0
15,28961,55,1,0,7427,7427.0,0.0,0.0,2975.0,0.0,4452.0,0.0,12.0,1.0,0.0,0.0,0,1,0,0
20,12163,67,1,0,7208,5535.0,0.0,1673.0,1405.0,4130.0,0.0,1673.0,11.0,4.0,6.0,9.0,0,1,0,0
29,28248,48,1,0,2516,2516.0,0.0,0.0,2516.0,0.0,0.0,0.0,8.0,1.0,2.0,8.0,0,0,0,1
36,6761,46,0,1,3034,3034.0,0.0,0.0,3034.0,0.0,0.0,0.0,5.0,8.0,0.0,2.0,1,0,0,0
40,17018,21,1,0,1953,1953.0,0.0,0.0,1953.0,0.0,0.0,0.0,5.0,6.0,4.0,5.0,0,1,0,0
47,11462,32,0,1,2082,297.0,1785.0,0.0,297.0,0.0,0.0,1785.0,8.0,8.0,0.0,9.0,1,0,0,0
53,43388,32,0,1,3294,3294.0,0.0,0.0,3294.0,0.0,0.0,0.0,0.0,11.0,3.0,12.0,1,0,0,0
61,39199,46,1,0,3260,3260.0,0.0,0.0,3260.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0,1,0,0
66,3843,43,1,0,5603,5603.0,0.0,0.0,5603.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0,1,0,0
71,49593,24,1,0,8053,7634.0,0.0,419.0,7634.0,0.0,0.0,419.0,13.0,6.0,0.0,14.0,0,0,0,1
83,34772,51,1,0,4684,4684.0,0.0,0.0,4684.0,0.0,0.0,0.0,10.0,10.0,3.0,2.0,0,1,0,0
91,47326,39,1,0,7129,1961.0,0.0,5168.0,1961.0,0.0,0.0,5168.0,0.0,10.0,10.0,1.0,1,0,0,0
97,24270,60,1,0,5064,4642.0,422.0,0.0,4642.0,0.0,0.0,422.0,2.0,7.0,1.0,0.0,0,1,0,0
102,25638,64,0,1,2540,1614.0,0.0,926.0,1614.0,0.0,0.0,926.0,6.0,5.0,2.0,4.0,0,0,0,1
107,44610,68,1,0,3605,3605.0,0.0,0.0,3605.0,0.0,0.0,0.0,2.0,13.0,1.0,3.0,0,1,0,0
113,42239,67,1,0,6229,6229.0,0.0,0.0,1683.0,4546.0,0.0,0.0,0.0,8.0,0.0,6.0,0,0,0,1
119,36664,22,0,1,965,965.0,0.0,0.0,965.0,0.0,0.0,0.0,10.0,5.0,14.0,2.0,0,1,0,0
128,23703,19,0,1,4067,4067.0,0.0,0.0,4067.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,0,1,0,0
132,6089,49,1,0,4767,4767.0,0.0,0.0,4767.0,0.0,0.0,0.0,13.0,8.0,5.0,6.0,0,1,0,0
142,34085,63,1,0,1468,1468.0,0.0,0.0,1468.0,0.0,0.0,0.0,6.0,0.0,8.0,2.0,1,0,0,0
147,43154,41,0,1,4242,2854.0,0.0,1388.0,2854.0,0.0,0.0,1388.0,10.0,0.0,0.0,3.0,1,0,0,0
152,24260,27,1,0,4220,4220.0,0.0,0.0,4220.0,0.0,0.0,986.0,18.0,14.0,10.0,3.0,0,1,0,0
164,15269,59,0,1,2152,2152.0,0.0,0.0,2152.0,0.0,0.0,0.0,4.0,8.0,4.0,12.0,0,1,0,0
171,5241,30,1,0,2084,1711.0,373.0,0.0,1711.0,0.0,0.0,373.0,2.0,2.0,4.0,3.0,0,1,0,0
176,3443,52,0,1,2386,2386.0,0.0,0.0,2386.0,0.0,0.0,0.0,9.0,3.0,13.0,0.0,0,1,0,0
185,47413,61,1,0,618,618.0,0.0,0.0,618.0,0.0,0.0,0.0,1.0,13.0,7.0,5.0,0,1,0,0
193,39920,38,0,1,4375,4375.0,0.0,0.0,4375.0,0.0,0.0,0.0,6.0,7.0,5.0,3.0,0,1,0,0
201,45933,23,0,1,3092,3092.0,0.0,0.0,3092.0,0.0,0.0,2950.0,7.0,8.0,0.0,9.0,0,0,1,0
208,8969,28,0,1,2134,2134.0,0.0,0.0,2134.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0,1,0,0
210,44809,30,1,0,7714,5498.0,2216.0,0.0,1548.0,3950.0,0.0,2216.0,0.0,4.0,0.0,5.0,0,1,0,0
216,6163,30,1,0,2508,1861.0,0.0,647.0,1861.0,0.0,0.0,647.0,6.0,2.0,0.0,3.0,1,0,0,0
221,2919,39,1,0,3997,1974.0,2023.0,0.0,1974.0,0.0,0.0,2023.0,17.0,2.0,0.0,4.0,0,0,0,1
231,33320,21,1,0,442,442.0,0.0,0.0,442.0,0.0,0.0,0.0,9.0,10.0,10.0,5.0,0,1,0,0
241,19284,59,0,1,922,922.0,0.0,0.0,922.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0,1,0,0
246,38226,46,0,1,4677,279.0,0.0,4398.0,279.0,0.0,0.0,4398.0,2.0,14.0,3.0,0.0,0,1,0,0
252,7547,43,1,0,4689,4400.0,289.0,0.0,4400.0,0.0,0.0,289.0,0.0,5.0,6.0,18.0,0,0,0,1
261,18196,37,1,0,2614,1248.0,1366.0,0.0,312.0,0.0,0.0,2302.0,9.0,4.0,2.0,5.0,0,1,0,0
267,14162,34,1,0,3768,3768.0,0.0,0.0,3768.0,0.0,0.0,0.0,6.0,0.0,10.0,3.0,0,1,0,0
273,8626,22,1,0,3482,3482.0,0.0,0.0,3482.0,0.0,0.0,4198.0,9.0,12.0,1.0,0.0,0,0,1,0
281,28501,35,1,0,572,572.0,0.0,0.0,572.0,0.0,0.0,0.0,9.0,5.0,0.0,4.0,1,0,0,0
287,29635,30,1,0,3859,3859.0,0.0,0.0,3859.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,1,0,0,0
291,23422,36,1,0,2484,982.0,1502.0,0.0,982.0,0.0,0.0,1502.0,8.0,4.0,2.0,6.0,0,1,0,0
301,46076,38,1,0,600,600.0,0.0,0.0,600.0,0.0,0.0,0.0,2.0,12.0,3.0,2.0,0,1,0,0
309,13989,27,0,1,1033,1033.0,0.0,0.0,1033.0,0.0,0.0,0.0,5.0,0.0,12.0,2.0,0,0,0,1
314,32384,66,0,1,2351,2351.0,0.0,0.0,2351.0,0.0,0.0,0.0,4.0,11.0,0.0,5.0,0,1,0,0
322,37881,52,0,1,3655,2906.0,749.0,0.0,2906.0,0.0,0.0,749.0,4.0,1.0,2.0,8.0,0,1,0,0
327,27922,47,1,0,443,443.0,0.0,0.0,443.0,0.0,0.0,0.0,5.0,4.0,9.0,4.0,0,1,0,0
333,35410,66,1,0,8008,3820.0,4188.0,0.0,3820.0,0.0,0.0,4901.0,8.0,5.0,0.0,7.0,1,0,0,0
341,14237,21,0,1,4483,4483.0,0.0,0.0,2590.0,1893.0,0.0,0.0,12.0,7.0,2.0,1.0,0,1,0,0
350,40321,22,1,0,7177,5276.0,0.0,1901.0,2645.0,0.0,2631.0,1901.0,5.0,0.0,9.0,4.0,0,1,0,0
355,35059,66,1,0,3450,3450.0,0.0,0.0,3450.0,0.0,0.0,4919.0,10.0,6.0,1.0,0.0,0,1,0,0
360,10461,59,1,0,3487,3487.0,0.0,0.0,3487.0,0.0,0.0,0.0,6.0,7.0,5.0,5.0,0,1,0,0
